id,sigla,Dipartimento,nome,link_generale,link_direttore,link_descrizione,link_ricerca,link_pubblicazioni,link_servizi,link_competenze,link_collaborazioni,link_formazione,link_biblioteche,link_banchedati,link_focus,link_focus_ITA,links_logo,nome_istituto,url,links_webist,links_mailist,links_pres_ist,indirizzo,web_site,direttore,mail,latitude,longitude
21,ICIB ,Scienze chimiche e tecnologie dei materiali,"Istituto di cibernetica ""Edoardo Caianiello"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=024,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=024,http://www.cnr.it/istituti/Descrizione_eng.html?cds=024,http://www.cnr.it/istituti/Ricerca_eng.html?cds=024,Pubblicazioni_eng.html?cds=024,http://www.cnr.it/istituti/Servizi_eng.html?cds=024,http://www.cnr.it/istituti/Competenze_eng.html?cds=024,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=024,http://www.cnr.it/istituti/Formazione_eng.html?cds=024,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=024,http://www.cnr.it/istituti/Banchedati_eng.html?cds=024,http://www.cnr.it/istituti/Focus_eng.html?cds=024,http://www.cnr.it/istituti/Focus.html?cds=024,NA,"Istituto di cibernetica ""Edoardo Caianiello""",http://www.cnr.it/istituti/DatiGenerali.html?cds=024,http://www.cib.na.cnr.it,mailto:cib@cib.na.cnr.it,NA,"Via Campi Flegrei, 34 - 80078 Pozzuoli NA Campania",http://www.cib.na.cnr.it,Dott. PIETRO FERRARO    ,cib@cib.na.cnr.it,40.8350324,14.1067305
22,IC ,Scienze chimiche e tecnologie dei materiali,Istituto di cristallografia ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=027,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=027,http://www.cnr.it/istituti/Descrizione_eng.html?cds=027,http://www.cnr.it/istituti/Ricerca_eng.html?cds=027,Pubblicazioni_eng.html?cds=027,http://www.cnr.it/istituti/Servizi_eng.html?cds=027,http://www.cnr.it/istituti/Competenze_eng.html?cds=027,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=027,http://www.cnr.it/istituti/Formazione_eng.html?cds=027,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=027,http://www.cnr.it/istituti/Banchedati_eng.html?cds=027,http://www.cnr.it/istituti/Focus_eng.html?cds=027,http://www.cnr.it/istituti/Focus.html?cds=027,http://www.cnr.it/istituti/./logoIC.jpg?LO=01000000d9c8b7a6080000000800000013e620008ae6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di cristallografia,http://www.cnr.it/istituti/DatiGenerali.html?cds=027,http://www.ic.cnr.it,mailto:segreteria@ic.cnr.it,NA,"Via Giovanni Amendola, 122/O - 70126 Bari BA Puglia",http://www.ic.cnr.it,Dr. MICHELE SAVIANO    ,segreteria@ic.cnr.it,41.1122236,16.8822112
23,IEIIT ,"Ingegneria, ICT e tecnologie per l'energia e i trasporti",Istituto di elettronica e di ingegneria dell'informazione e delle telecomunicazioni ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=029,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=029,http://www.cnr.it/istituti/Descrizione_eng.html?cds=029,http://www.cnr.it/istituti/Ricerca_eng.html?cds=029,Pubblicazioni_eng.html?cds=029,http://www.cnr.it/istituti/Servizi_eng.html?cds=029,http://www.cnr.it/istituti/Competenze_eng.html?cds=029,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=029,http://www.cnr.it/istituti/Formazione_eng.html?cds=029,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=029,http://www.cnr.it/istituti/Banchedati_eng.html?cds=029,http://www.cnr.it/istituti/Focus_eng.html?cds=029,http://www.cnr.it/istituti/Focus.html?cds=029,NA,Istituto di elettronica e di ingegneria  dell'informazione e delle telecomunicazioni,http://www.cnr.it/istituti/DatiGenerali.html?cds=029,http://www.ieiit.cnr.it/,mailto:ieiit.to@ieiit.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a6080000000800000078592300c759be53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Corso Duca degli Abruzzi, 24 - 10129 Torino TO Piemonte",http://www.ieiit.cnr.it/,Dr. RICCARDO TASCONE    -,ieiit.to@ieiit.cnr.it,45.0622879,7.6628484
24,IFT ,Scienze Biomediche,Istituto di Farmacologia Traslazionale ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=116,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=116,http://www.cnr.it/istituti/Descrizione_eng.html?cds=116,http://www.cnr.it/istituti/Ricerca_eng.html?cds=116,Pubblicazioni_eng.html?cds=116,http://www.cnr.it/istituti/Servizi_eng.html?cds=116,http://www.cnr.it/istituti/Competenze_eng.html?cds=116,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=116,http://www.cnr.it/istituti/Formazione_eng.html?cds=116,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=116,http://www.cnr.it/istituti/Banchedati_eng.html?cds=116,http://www.cnr.it/istituti/Focus_eng.html?cds=116,http://www.cnr.it/istituti/Focus.html?cds=116,NA,Istituto di Farmacologia Traslazionale,http://www.cnr.it/istituti/DatiGenerali.html?cds=116,http://www.ift.cnr.it/gare/,mailto:segreteria@ift.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000755b2300c45bbe53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/vnd.openxmlformats-officedocument.word,Via Fosso del Cavaliere 100 - 00133 Roma RM Lazio,http://www.ift.cnr.it/gare/,Prof. ANTONIO MASTINO,segreteria@ift.cnr.it,41.8396448,12.6488131
25,IFAC ,Scienze chimiche e tecnologie dei materiali,"Istituto di fisica applicata ""Nello Carrara"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=032,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=032,http://www.cnr.it/istituti/Descrizione_eng.html?cds=032,http://www.cnr.it/istituti/Ricerca_eng.html?cds=032,Pubblicazioni_eng.html?cds=032,http://www.cnr.it/istituti/Servizi_eng.html?cds=032,http://www.cnr.it/istituti/Competenze_eng.html?cds=032,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=032,http://www.cnr.it/istituti/Formazione_eng.html?cds=032,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=032,http://www.cnr.it/istituti/Banchedati_eng.html?cds=032,http://www.cnr.it/istituti/Focus_eng.html?cds=032,http://www.cnr.it/istituti/Focus.html?cds=032,http://www.cnr.it/istituti/./logoIFAC150x85.jpg?LO=01000000d9c8b7a6080000000800000001e6200078e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"Istituto di fisica applicata ""Nello Carrara""",http://www.cnr.it/istituti/DatiGenerali.html?cds=032,http://www.ifac.cnr.it,mailto:ifac@ifac.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a6080000000800000062592300b159be53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Madonna del Piano, 10 - 50019 Sesto Fiorentino FI Toscana",http://www.ifac.cnr.it,Dott ROBERTO PINI    ,ifac@ifac.cnr.it,43.8178456,11.2003812
26,IFP ,"Ingegneria, ICT e tecnologie per l'energia e i trasporti","Istituto di fisica del plasma ""Piero Caldirola"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=033,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=033,http://www.cnr.it/istituti/Descrizione_eng.html?cds=033,http://www.cnr.it/istituti/Ricerca_eng.html?cds=033,Pubblicazioni_eng.html?cds=033,http://www.cnr.it/istituti/Servizi_eng.html?cds=033,http://www.cnr.it/istituti/Competenze_eng.html?cds=033,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=033,http://www.cnr.it/istituti/Formazione_eng.html?cds=033,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=033,http://www.cnr.it/istituti/Banchedati_eng.html?cds=033,http://www.cnr.it/istituti/Focus_eng.html?cds=033,http://www.cnr.it/istituti/Focus.html?cds=033,NA,"Istituto di fisica del plasma ""Piero Caldirola""",http://www.cnr.it/istituti/DatiGenerali.html?cds=033,http://www.ifp.cnr.it,mailto:direttore@ifp.cnr.it,NA,"Via Roberto Cozzi, 53 - 20125 Milano MI Lombardia",http://www.ifp.cnr.it,dott. MAURIZIO GIUSEPPE LONTANO    ,direttore@ifp.cnr.it,45.5108397,9.212336
27,IFC ,Scienze Biomediche,Istituto di fisiologia clinica ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=035,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=035,http://www.cnr.it/istituti/Descrizione_eng.html?cds=035,http://www.cnr.it/istituti/Ricerca_eng.html?cds=035,Pubblicazioni_eng.html?cds=035,http://www.cnr.it/istituti/Servizi_eng.html?cds=035,http://www.cnr.it/istituti/Competenze_eng.html?cds=035,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=035,http://www.cnr.it/istituti/Formazione_eng.html?cds=035,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=035,http://www.cnr.it/istituti/Banchedati_eng.html?cds=035,http://www.cnr.it/istituti/Focus_eng.html?cds=035,http://www.cnr.it/istituti/Focus.html?cds=035,http://www.cnr.it/istituti/./logo-ifc150.jpg?LO=01000000d9c8b7a6080000000800000020e6200097e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di fisiologia clinica,http://www.cnr.it/istituti/DatiGenerali.html?cds=035,http://www.ifc.cnr.it,mailto:segreteria.direzione@ifc.cnr.it,NA,"Via Giuseppe Moruzzi, 1 - 56124 Pisa PI Toscana",http://www.ifc.cnr.it,Dott. GIORGIO IERVASI    ,segreteria.direzione@ifc.cnr.it,43.7185511,10.4222233
28,IFN ,Scienze chimiche e tecnologie dei materiali,Istituto di fotonica e nanotecnologie ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=036,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=036,http://www.cnr.it/istituti/Descrizione_eng.html?cds=036,http://www.cnr.it/istituti/Ricerca_eng.html?cds=036,Pubblicazioni_eng.html?cds=036,http://www.cnr.it/istituti/Servizi_eng.html?cds=036,http://www.cnr.it/istituti/Competenze_eng.html?cds=036,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=036,http://www.cnr.it/istituti/Formazione_eng.html?cds=036,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=036,http://www.cnr.it/istituti/Banchedati_eng.html?cds=036,http://www.cnr.it/istituti/Focus_eng.html?cds=036,http://www.cnr.it/istituti/Focus.html?cds=036,http://www.cnr.it/istituti/./logo-IFN.gif?LO=01000000d9c8b7a608000000080000002de62000a4e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di fotonica e nanotecnologie,http://www.cnr.it/istituti/DatiGenerali.html?cds=036,http://www.ifn.cnr.it,mailto:ifn@ifn.cnr.it,NA,"Piazza Leonardo da Vinci, 32 - 20133 Milano MI Lombardia",http://www.ifn.cnr.it,tt,ifn@ifn.cnr.it,45.4778322,9.2274315
29,IGB ,Scienze Biomediche,"Istituto di genetica e biofisica ""Adriano Buzzati Traverso"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=039,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=039,http://www.cnr.it/istituti/Descrizione_eng.html?cds=039,http://www.cnr.it/istituti/Ricerca_eng.html?cds=039,Pubblicazioni_eng.html?cds=039,http://www.cnr.it/istituti/Servizi_eng.html?cds=039,http://www.cnr.it/istituti/Competenze_eng.html?cds=039,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=039,http://www.cnr.it/istituti/Formazione_eng.html?cds=039,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=039,http://www.cnr.it/istituti/Banchedati_eng.html?cds=039,http://www.cnr.it/istituti/Focus_eng.html?cds=039,http://www.cnr.it/istituti/Focus.html?cds=039,NA,"Istituto di genetica e biofisica ""Adriano Buzzati Traverso""",http://www.cnr.it/istituti/DatiGenerali.html?cds=039,http://www.igb.cnr.it,mailto:segreteria@igb.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000a0582300ef58be53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,Via Pietro Castellino 111 - 80131 Napoli NA Campania,http://www.igb.cnr.it,Prof ANTONIO SIMEONE ,segreteria@igb.cnr.it,40.8545408,14.224848
30,IGM ,Scienze Biomediche,Istituto di genetica molecolare ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=040,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=040,http://www.cnr.it/istituti/Descrizione_eng.html?cds=040,http://www.cnr.it/istituti/Ricerca_eng.html?cds=040,Pubblicazioni_eng.html?cds=040,http://www.cnr.it/istituti/Servizi_eng.html?cds=040,http://www.cnr.it/istituti/Competenze_eng.html?cds=040,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=040,http://www.cnr.it/istituti/Formazione_eng.html?cds=040,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=040,http://www.cnr.it/istituti/Banchedati_eng.html?cds=040,http://www.cnr.it/istituti/Focus_eng.html?cds=040,http://www.cnr.it/istituti/Focus.html?cds=040,http://www.cnr.it/istituti/./logoIGM.gif?LO=01000000d9c8b7a60800000008000000f5e520006ce6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di genetica molecolare,http://www.cnr.it/istituti/DatiGenerali.html?cds=040,http://www.igm.cnr.it,mailto:direttore@igm.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000bc062d00a6a4f753000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Abbiategrasso, 207 - 27100 Pavia PV Lombardia",http://www.igm.cnr.it,Dott. GIUSEPPE BIAMONTI  ,direttore@igm.cnr.it,45.20051,9.13542
31,IGAG ,Scienze del sistema Terra e tecnologie per l'ambiente,Istituto di geologia ambientale e geoingegneria ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=042,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=042,http://www.cnr.it/istituti/Descrizione_eng.html?cds=042,http://www.cnr.it/istituti/Ricerca_eng.html?cds=042,Pubblicazioni_eng.html?cds=042,http://www.cnr.it/istituti/Servizi_eng.html?cds=042,http://www.cnr.it/istituti/Competenze_eng.html?cds=042,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=042,http://www.cnr.it/istituti/Formazione_eng.html?cds=042,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=042,http://www.cnr.it/istituti/Banchedati_eng.html?cds=042,http://www.cnr.it/istituti/Focus_eng.html?cds=042,http://www.cnr.it/istituti/Focus.html?cds=042,http://www.cnr.it/istituti/./logoigag150px.jpg?LO=01000000d9c8b7a60800000008000000f4dc1100fa1ff453000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di geologia ambientale e geoingegneria,http://www.cnr.it/istituti/DatiGenerali.html?cds=042,http://www.igag.cnr.it,mailto:direttore-igag@igag.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000fedc11000420f453000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Salaria km 29,300 - 00015 Montelibretti RM Lazio",http://www.igag.cnr.it,Dott. PAOLO MESSINA,direttore-igag@igag.cnr.it,42.1355435,12.7379621
32,IGG ,Scienze del sistema Terra e tecnologie per l'ambiente,Istituto di geoscienze e georisorse ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=043,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=043,http://www.cnr.it/istituti/Descrizione_eng.html?cds=043,http://www.cnr.it/istituti/Ricerca_eng.html?cds=043,Pubblicazioni_eng.html?cds=043,http://www.cnr.it/istituti/Servizi_eng.html?cds=043,http://www.cnr.it/istituti/Competenze_eng.html?cds=043,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=043,http://www.cnr.it/istituti/Formazione_eng.html?cds=043,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=043,http://www.cnr.it/istituti/Banchedati_eng.html?cds=043,http://www.cnr.it/istituti/Focus_eng.html?cds=043,http://www.cnr.it/istituti/Focus.html?cds=043,http://www.cnr.it/istituti/./logo_IGG_inseribile.jpg?LO=01000000d9c8b7a6080000000800000019e6200090e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di geoscienze e georisorse,http://www.cnr.it/istituti/DatiGenerali.html?cds=043,http://www.igg.cnr.it,mailto:igg@igg.cnr.it,NA,"Via Giuseppe Moruzzi, 1 - 56124 Pisa PI Toscana",http://www.igg.cnr.it,Dott. ANTONELLO PROVENZALE    ,igg@igg.cnr.it,43.7185511,10.4222233
33,IIT ,Scienze fisiche e tecnologie della materia,Istituto di informatica e telematica ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=044,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=044,http://www.cnr.it/istituti/Descrizione_eng.html?cds=044,http://www.cnr.it/istituti/Ricerca_eng.html?cds=044,Pubblicazioni_eng.html?cds=044,http://www.cnr.it/istituti/Servizi_eng.html?cds=044,http://www.cnr.it/istituti/Competenze_eng.html?cds=044,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=044,http://www.cnr.it/istituti/Formazione_eng.html?cds=044,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=044,http://www.cnr.it/istituti/Banchedati_eng.html?cds=044,http://www.cnr.it/istituti/Focus_eng.html?cds=044,http://www.cnr.it/istituti/Focus.html?cds=044,NA,Istituto di informatica e telematica,http://www.cnr.it/istituti/DatiGenerali.html?cds=044,http://www.iit.cnr.it,mailto:direzione@iit.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000e6b61100f8f8f353000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Giuseppe Moruzzi, 1 - 56124 Pisa PI Toscana",http://www.iit.cnr.it,Dott. DOMENICO LAFORENZA    ,direzione@iit.cnr.it,43.7185511,10.4222233
34,ILC ,"Scienze umane e sociali, patrimonio culturale","Istituto di linguistica computazionale ""Antonio Zampolli"" ",http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=048,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=048,http://www.cnr.it/istituti/Descrizione_eng.html?cds=048,http://www.cnr.it/istituti/Ricerca_eng.html?cds=048,Pubblicazioni_eng.html?cds=048,http://www.cnr.it/istituti/Servizi_eng.html?cds=048,http://www.cnr.it/istituti/Competenze_eng.html?cds=048,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=048,http://www.cnr.it/istituti/Formazione_eng.html?cds=048,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=048,http://www.cnr.it/istituti/Banchedati_eng.html?cds=048,http://www.cnr.it/istituti/Focus_eng.html?cds=048,http://www.cnr.it/istituti/Focus.html?cds=048,NA,"Istituto di linguistica computazionale ""Antonio Zampolli""",http://www.cnr.it/istituti/DatiGenerali.html?cds=048,http://www.ilc.cnr.it,mailto:direttore@ilc.cnr.it,NA,"Via Giuseppe Moruzzi, 1 - 56124 Pisa PI Toscana",http://www.ilc.cnr.it,Dott.ssa SIMONETTA MONTEMAGNI    ,direttore@ilc.cnr.it,43.7185511,10.4222233
35,IMATI ,"Ingegneria, ICT e tecnologie per l'energia e i trasporti",Istituto di matematica applicata e tecnologie informatiche ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=050,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=050,http://www.cnr.it/istituti/Descrizione_eng.html?cds=050,http://www.cnr.it/istituti/Ricerca_eng.html?cds=050,Pubblicazioni_eng.html?cds=050,http://www.cnr.it/istituti/Servizi_eng.html?cds=050,http://www.cnr.it/istituti/Competenze_eng.html?cds=050,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=050,http://www.cnr.it/istituti/Formazione_eng.html?cds=050,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=050,http://www.cnr.it/istituti/Banchedati_eng.html?cds=050,http://www.cnr.it/istituti/Focus_eng.html?cds=050,http://www.cnr.it/istituti/Focus.html?cds=050,NA,Istituto di matematica applicata e tecnologie informatiche,http://www.cnr.it/istituti/DatiGenerali.html?cds=050,http://www.imati.cnr.it,mailto:segreteria@imati.cnr.it,NA,"Via Ferrata, 5/A - 27100 Pavia PV Lombardia",http://www.imati.cnr.it,Dott.ssa ANNALISA BUFFA,segreteria@imati.cnr.it,45.2037041,9.1377637
36,IMC ,Scienze chimiche e tecnologie dei materiali,Istituto di metodologie chimiche ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=053,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=053,http://www.cnr.it/istituti/Descrizione_eng.html?cds=053,http://www.cnr.it/istituti/Ricerca_eng.html?cds=053,Pubblicazioni_eng.html?cds=053,http://www.cnr.it/istituti/Servizi_eng.html?cds=053,http://www.cnr.it/istituti/Competenze_eng.html?cds=053,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=053,http://www.cnr.it/istituti/Formazione_eng.html?cds=053,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=053,http://www.cnr.it/istituti/Banchedati_eng.html?cds=053,http://www.cnr.it/istituti/Focus_eng.html?cds=053,http://www.cnr.it/istituti/Focus.html?cds=053,NA,Istituto di metodologie chimiche,http://www.cnr.it/istituti/DatiGenerali.html?cds=053,http://www.imc.cnr.it,mailto:imc@imc.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000f85823004759be53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/msword,"Via Salaria Km 29,300 - 00015 Monterotondo RM Lazio",http://www.imc.cnr.it,Dott.ssa GIOVANNA MANCINI    ,imc@imc.cnr.it,42.0517785,12.6202874
37,IMIP ,Scienze chimiche e tecnologie dei materiali,Istituto di metodologie inorganiche e dei plasmi ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=054,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=054,http://www.cnr.it/istituti/Descrizione_eng.html?cds=054,http://www.cnr.it/istituti/Ricerca_eng.html?cds=054,Pubblicazioni_eng.html?cds=054,http://www.cnr.it/istituti/Servizi_eng.html?cds=054,http://www.cnr.it/istituti/Competenze_eng.html?cds=054,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=054,http://www.cnr.it/istituti/Formazione_eng.html?cds=054,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=054,http://www.cnr.it/istituti/Banchedati_eng.html?cds=054,http://www.cnr.it/istituti/Focus_eng.html?cds=054,http://www.cnr.it/istituti/Focus.html?cds=054,http://www.cnr.it/istituti/./logo IMIP.jpg?LO=01000000d9c8b7a608000000080000003ce62000b3e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di metodologie inorganiche e dei plasmi,http://www.cnr.it/istituti/DatiGenerali.html?cds=054,http://www.imip.cnr.it,mailto:direttore.imip@imip.cnr.it,NA,Via Amendola 122/D - 70126 Bari BA Puglia,http://www.imip.cnr.it,Prof. GIUSEPPE GIGLI    ,direttore.imip@imip.cnr.it,41.1122236,16.8822112
38,IMAA ,Scienze del sistema Terra e tecnologie per l'ambiente,Istituto di metodologie per l'analisi ambientale ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=055,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=055,http://www.cnr.it/istituti/Descrizione_eng.html?cds=055,http://www.cnr.it/istituti/Ricerca_eng.html?cds=055,Pubblicazioni_eng.html?cds=055,http://www.cnr.it/istituti/Servizi_eng.html?cds=055,http://www.cnr.it/istituti/Competenze_eng.html?cds=055,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=055,http://www.cnr.it/istituti/Formazione_eng.html?cds=055,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=055,http://www.cnr.it/istituti/Banchedati_eng.html?cds=055,http://www.cnr.it/istituti/Focus_eng.html?cds=055,http://www.cnr.it/istituti/Focus.html?cds=055,NA,Istituto di metodologie per l'analisi ambientale,http://www.cnr.it/istituti/DatiGenerali.html?cds=055,http://www.imaa.cnr.it,mailto:direzione@imaa.cnr.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a6080000000800000023300900b7d8f253000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,Contrada S. Loja - Zona industriale C.P. 27 - 85050 Tito Scalo PZ Basilicata,http://www.imaa.cnr.it,Dr. VINCENZO LAPENNA    ,direzione@imaa.cnr.it,40.6941548,15.573085
39,IN ,Scienze Biomediche,Istituto di neuroscienze ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=061,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=061,http://www.cnr.it/istituti/Descrizione_eng.html?cds=061,http://www.cnr.it/istituti/Ricerca_eng.html?cds=061,Pubblicazioni_eng.html?cds=061,http://www.cnr.it/istituti/Servizi_eng.html?cds=061,http://www.cnr.it/istituti/Competenze_eng.html?cds=061,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=061,http://www.cnr.it/istituti/Formazione_eng.html?cds=061,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=061,http://www.cnr.it/istituti/Banchedati_eng.html?cds=061,http://www.cnr.it/istituti/Focus_eng.html?cds=061,http://www.cnr.it/istituti/Focus.html?cds=061,http://www.cnr.it/istituti/./logo_in.jpg?LO=01000000d9c8b7a6080000000800000025e620009ce6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di neuroscienze,http://www.cnr.it/istituti/DatiGenerali.html?cds=061,http://www.in.cnr.it,mailto:michela.matteoli@unimi.it,http://www.cnr.it/istituti/istituti/?LO=01000000d9c8b7a60800000008000000345923008359be53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000&type=application/pdf,"Via Giuseppe Moruzzi, 1 - 56124 Pisa PI Toscana",http://www.in.cnr.it,Prof. MICHELA MATTEOLI    ,michela.matteoli@unimi.it,43.7185511,10.4222233
40,IRGB ,Scienze Biomediche,Istituto di Ricerca Genetica e Biomedica ,http://www.cnr.it/istituti/DatiGenerali_eng.html?cds=060,http://www.cnr.it/istituti/DatiDirettore_eng.html?cds=060,http://www.cnr.it/istituti/Descrizione_eng.html?cds=060,http://www.cnr.it/istituti/Ricerca_eng.html?cds=060,Pubblicazioni_eng.html?cds=060,http://www.cnr.it/istituti/Servizi_eng.html?cds=060,http://www.cnr.it/istituti/Competenze_eng.html?cds=060,http://www.cnr.it/istituti/Collaborazioni_eng.html?cds=060,http://www.cnr.it/istituti/Formazione_eng.html?cds=060,http://www.cnr.it/istituti/Biblioteche_eng.html?cds=060,http://www.cnr.it/istituti/Banchedati_eng.html?cds=060,http://www.cnr.it/istituti/Focus_eng.html?cds=060,http://www.cnr.it/istituti/Focus.html?cds=060,http://www.cnr.it/istituti/./logo-irgbBluebig.png?LO=01000000d9c8b7a608000000080000004de62000c4e6bb53000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,Istituto di Ricerca Genetica e Biomedica,http://www.cnr.it/istituti/DatiGenerali.html?cds=060,http://www.irgb.cnr.it,mailto:segreteria@irgb.cnr.it,NA,Cittadella Universitaria di Cagliari - 09042 Monserrato CA Sardegna,http://www.irgb.cnr.it,Prof. FRANCESCO CUCCA    ,segreteria@irgb.cnr.it,39.2688406,9.1228683
